-0.000067	-0.000000	0.000067	0.000133	0.000199	0.000265	0.000330	0.000394	0.000457	0.000519	0.000579	0.000638	0.000695	0.000751	0.000804	0.000855	0.000904	0.000951	0.000995	0.001036	0.001075	0.001110	0.001143	0.001173	0.001199	0.001223	0.001243	0.001260	0.001274	0.001284	0.001291	0.001294	0.001294	0.001291	0.001284	0.001274	0.001260	0.001243	0.001223	0.001199	0.001173	0.001143	0.001110	0.001074	0.001036	0.000994	0.000950	0.000904	0.000855	0.000804	0.000751	0.000695	0.000638	0.000579	0.000519	0.000457	0.000394	0.000330	0.000265	0.000199	0.000133	0.000067	-0.000000	-0.000067	
-0.000110	0.000000	0.000110	0.000220	0.000330	0.000438	0.000545	0.000651	0.000755	0.000857	0.000957	0.001054	0.001149	0.001240	0.001328	0.001413	0.001494	0.001571	0.001643	0.001711	0.001775	0.001834	0.001888	0.001937	0.001981	0.002020	0.002053	0.002081	0.002103	0.002119	0.002130	0.002136	0.002135	0.002129	0.002118	0.002100	0.002077	0.002049	0.002015	0.001976	0.001932	0.001882	0.001828	0.001769	0.001705	0.001636	0.001564	0.001487	0.001406	0.001322	0.001234	0.001143	0.001048	0.000952	0.000852	0.000751	0.000647	0.000542	0.000435	0.000327	0.000219	0.000110	0.000000	-0.000110	
-0.000191	-0.000000	0.000191	0.000381	0.000570	0.000758	0.000944	0.001127	0.001307	0.001484	0.001657	0.001825	0.001989	0.002147	0.002299	0.002445	0.002585	0.002718	0.002844	0.002961	0.003071	0.003173	0.003267	0.003351	0.003427	0.003493	0.003550	0.003598	0.003636	0.003665	0.003683	0.003692	0.003691	0.003680	0.003659	0.003629	0.003589	0.003540	0.003481	0.003413	0.003336	0.003250	0.003156	0.003053	0.002942	0.002824	0.002698	0.002565	0.002426	0.002280	0.002128	0.001971	0.001808	0.001641	0.001470	0.001294	0.001116	0.000934	0.000750	0.000564	0.000377	0.000189	-0.000000	-0.000189	
-0.000257	0.000000	0.000257	0.000514	0.000769	0.001022	0.001272	0.001519	0.001762	0.002000	0.002233	0.002459	0.002680	0.002893	0.003098	0.003295	0.003483	0.003662	0.003831	0.003990	0.004138	0.004276	0.004401	0.004515	0.004617	0.004707	0.004784	0.004848	0.004899	0.004938	0.004963	0.004974	0.004973	0.004958	0.004931	0.004890	0.004836	0.004769	0.004690	0.004598	0.004495	0.004379	0.004252	0.004114	0.003964	0.003805	0.003635	0.003456	0.003268	0.003072	0.002867	0.002655	0.002436	0.002211	0.001980	0.001744	0.001503	0.001259	0.001011	0.000760	0.000508	0.000254	0.000000	-0.000254	
-0.000343	-0.000000	0.000343	0.000685	0.001025	0.001362	0.001696	0.002025	0.002349	0.002666	0.002977	0.003279	0.003573	0.003857	0.004131	0.004393	0.004644	0.004883	0.005108	0.005320	0.005518	0.005701	0.005869	0.006020	0.006156	0.006276	0.006378	0.006464	0.006532	0.006583	0.006617	0.006633	0.006631	0.006611	0.006574	0.006520	0.006448	0.006359	0.006254	0.006131	0.005993	0.005839	0.005669	0.005485	0.005286	0.005073	0.004847	0.004609	0.004358	0.004096	0.003823	0.003540	0.003248	0.002948	0.002640	0.002325	0.002004	0.001678	0.001348	0.001014	0.000677	0.000339	-0.000000	-0.000339	
-0.000452	0.000000	0.000452	0.000903	0.001352	0.001797	0.002238	0.002672	0.003099	0.003518	0.003928	0.004327	0.004714	0.005089	0.005450	0.005797	0.006128	0.006443	0.006740	0.007020	0.007281	0.007522	0.007743	0.007944	0.008123	0.008281	0.008416	0.008529	0.008619	0.008687	0.008731	0.008751	0.008749	0.008723	0.008674	0.008603	0.008508	0.008391	0.008251	0.008090	0.007907	0.007704	0.007480	0.007237	0.006975	0.006694	0.006396	0.006081	0.005750	0.005404	0.005044	0.004671	0.004286	0.003890	0.003483	0.003068	0.002645	0.002214	0.001778	0.001338	0.000894	0.000447	0.000000	-0.000447	
-0.000591	-0.000000	0.000591	0.001180	0.001766	0.002347	0.002922	0.003489	0.004047	0.004594	0.005128	0.005649	0.006155	0.006645	0.007116	0.007569	0.008002	0.008413	0.008801	0.009166	0.009507	0.009822	0.010111	0.010372	0.010606	0.010812	0.010989	0.011137	0.011254	0.011342	0.011400	0.011427	0.011424	0.011390	0.011326	0.011233	0.011109	0.010956	0.010774	0.010563	0.010325	0.010059	0.009767	0.009449	0.009107	0.008740	0.008351	0.007940	0.007508	0.007056	0.006586	0.006099	0.005596	0.005079	0.004548	0.004006	0.003453	0.002891	0.002322	0.001747	0.001167	0.000584	-0.000000	-0.000584	
-0.000763	0.000000	0.000763	0.001524	0.002281	0.003032	0.003775	0.004508	0.005229	0.005936	0.006627	0.007300	0.007953	0.008586	0.009195	0.009780	0.010339	0.010870	0.011372	0.011844	0.012284	0.012691	0.013064	0.013402	0.013705	0.013971	0.014199	0.014390	0.014542	0.014656	0.014730	0.014765	0.014761	0.014718	0.014635	0.014514	0.014354	0.014156	0.013921	0.013649	0.013341	0.012998	0.012621	0.012210	0.011767	0.011294	0.010791	0.010259	0.009701	0.009118	0.008511	0.007881	0.007231	0.006563	0.005877	0.005176	0.004462	0.003736	0.003000	0.002257	0.001508	0.000755	0.000000	-0.000755	
-0.000976	-0.000000	0.000976	0.001949	0.002917	0.003877	0.004827	0.005764	0.006686	0.007590	0.008473	0.009334	0.010170	0.010979	0.011758	0.012506	0.013220	0.013900	0.014542	0.015145	0.015707	0.016228	0.016705	0.017138	0.017524	0.017864	0.018157	0.018400	0.018595	0.018740	0.018835	0.018880	0.018875	0.018819	0.018714	0.018559	0.018355	0.018102	0.017801	0.017453	0.017059	0.016620	0.016138	0.015613	0.015047	0.014441	0.013798	0.013118	0.012405	0.011659	0.010882	0.010078	0.009247	0.008392	0.007515	0.006619	0.005705	0.004777	0.003837	0.002886	0.001928	0.000965	-0.000000	-0.000965	
-0.001235	0.000000	0.001235	0.002466	0.003691	0.004906	0.006108	0.007294	0.008460	0.009604	0.010722	0.011811	0.012869	0.013892	0.014878	0.015825	0.016729	0.017588	0.018401	0.019164	0.019876	0.020534	0.021138	0.021686	0.022175	0.022605	0.022975	0.023283	0.023530	0.023713	0.023834	0.023891	0.023884	0.023814	0.023680	0.023484	0.023226	0.022906	0.022525	0.022085	0.021586	0.021031	0.020420	0.019756	0.019040	0.018274	0.017460	0.016600	0.015697	0.014753	0.013770	0.012752	0.011701	0.010619	0.009509	0.008375	0.007219	0.006045	0.004855	0.003652	0.002440	0.001222	0.000000	-0.001222	
